username,photo,caption
seiden_into.ur.dms,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/e35/43312079_346295636162134_4228034396244605227_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=110&oh=69dd65979af6487713ce1ec3dd8b82ee&oe=5E8A912D,thank u dad for keeping me informed on the important things
seiden_into.ur.dms,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/e35/54447063_2177473025827466_8128062803040814365_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=102&oh=169fa7fa94e09df77ed02df1b5a98df2&oe=5E7081A3,this isn’t even applicable to me rn but still this is an ooooooof
seiden_into.ur.dms,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/e35/47034434_619133058506560_3630080212180734661_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=104&oh=001f8351ff0bad67b7b7caace71aa2fe&oe=5E82C01B,this right here is a sext💦💦💦
seiden_into.ur.dms,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/e35/58410779_439351043293141_5620406433672115739_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=101&oh=c27ce7819b39b632d319f3fb232a7d44&oe=5E83C6FD,when u recap ur escapade to ur friend & they hit u with this LMAOOOOOOOO😂
seiden_into.ur.dms,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/46645058_325946901562068_8173419688016822913_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=100&oh=9caadcfb5db232ca42fbf466b0ce45d9&oe=5E7F688F,looked down & saw that I accidentally ate a piece of my plate WTF
seiden_into.ur.dms,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/e35/47693116_236557620578654_1116361377836347028_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=102&oh=29f37b787522e3097de768dfad20977a&oe=5E515A85,reminder that this is my ex boyfriends ex best friend...& he currently has a girlfriend——- YIIIIIIIIIIKESSSSSSSS
seiden_into.ur.dms,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/65782571_457569845030194_5843394536398239925_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=110&oh=41d94d1490dad5dd76d6a80e3dd08900&oe=5E6ECB85,there’s a few people who I kinda hate but refuse to unfollow them on social media because something about watching their fucking annoying stories is therapeutic and is proper justification for me hating them in my mind—-is this normal
seiden_into.ur.dms,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/50277753_327727894512332_2964868239941427624_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=108&oh=63cb94a118f0da97482b4f95cd389712&oe=5E8B4F63,"Was supposed to go on a date with some rando & he drove here & then got freaked out at the parking sitch around 9e & hopkins, decided to drive back home & proceeded to ask me to come uber over to his area. Julianns mood is my reaction"
seiden_into.ur.dms,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/e35/52627222_259124618312610_1480783646226824392_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=106&oh=af36b50b3b0fa909ca5319afd704b6fd&oe=5E665DCD,mood of today: i need to stop liking boys named andrew. This is old andrew & we started talking again which ik is bad bc he was mean but like ugh but new Andrew is also problematic
seiden_into.ur.dms,https://scontent-vie1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/61244972_733165070413779_5639245206832673291_n.jpg?_nc_ht=scontent-vie1-1.cdninstagram.com&_nc_cat=103&oh=8e2e67aab9f1e598a6f1bb3938affab4&oe=5E7D24AA,Reaction when today I played old town road and my brother said he never heard it before
